gname,attacktype1_txt,city
youths,assassination,Sopore
youths,assassination,Parganas district
youths,assassination,Gaya district
youths,hijacking,Srinagar
youths,hijacking,Guwahati
youths,hijacking,Sukma district
youths,hijacking,Rai
youths,hijacking,Anantnag
youths,hijacking,New Delhi
youths,hijacking,Tral
youths,hijacking,Bengaluru
youths,hijacking,Roro
youths,hijacking,Sonitpur district
youths,hijacking,Sopore
youths,hijacking,Parganas district
youths,hijacking,Gaya district
youths,kidnapping,Srinagar
youths,kidnapping,Guwahati
youths,kidnapping,Sukma district
youths,kidnapping,Rai
youths,kidnapping,Anantnag
youths,kidnapping,New Delhi
youths,kidnapping,Tral
youths,kidnapping,Bengaluru
youths,kidnapping,Roro
youths,kidnapping,Sonitpur district
youths,kidnapping,Sopore
youths,kidnapping,Parganas district
youths,kidnapping,Gaya district
youths,bombing,Srinagar
youths,bombing,Guwahati
youths,bombing,Sukma district
youths,bombing,Rai
youths,bombing,Anantnag
youths,bombing,New Delhi
youths,bombing,Tral
youths,bombing,Bengaluru
youths,bombing,Roro
youths,bombing,Sonitpur district
youths,bombing,Sopore
youths,bombing,Parganas district
youths,bombing,Gaya district
people's liberation army,assassination,Srinagar
people's liberation army,assassination,Guwahati
people's liberation army,assassination,Sukma district
people's liberation army,assassination,Rai
people's liberation army,assassination,Anantnag
people's liberation army,assassination,New Delhi
people's liberation army,assassination,Tral
people's liberation army,assassination,Bengaluru
people's liberation army,assassination,Roro
people's liberation army,assassination,Sonitpur district
people's liberation army,assassination,Sopore
people's liberation army,assassination,Parganas district
people's liberation army,assassination,Gaya district
people's liberation army,hijacking,Srinagar
people's liberation army,hijacking,Guwahati
people's liberation army,hijacking,Sukma district
people's liberation army,hijacking,Rai
people's liberation army,hijacking,Anantnag
people's liberation army,hijacking,New Delhi
people's liberation army,hijacking,Tral
people's liberation army,hijacking,Bengaluru
people's liberation army,hijacking,Roro
people's liberation army,hijacking,Sonitpur district
people's liberation army,hijacking,Sopore
people's liberation army,hijacking,Parganas district
people's liberation army,hijacking,Gaya district
people's liberation army,kidnapping,Srinagar
people's liberation army,kidnapping,Guwahati
people's liberation army,kidnapping,Sukma district
people's liberation army,kidnapping,Rai
people's liberation army,kidnapping,Anantnag
people's liberation army,kidnapping,New Delhi
people's liberation army,kidnapping,Tral
people's liberation army,kidnapping,Bengaluru
people's liberation army,kidnapping,Roro
people's liberation army,kidnapping,Sonitpur district
people's liberation army,kidnapping,Sopore
people's liberation army,kidnapping,Parganas district
people's liberation army,kidnapping,Gaya district
people's liberation army,bombing,Srinagar
people's liberation army,bombing,Guwahati
people's liberation army,bombing,Sukma district
people's liberation army,bombing,Rai
people's liberation army,bombing,Anantnag
people's liberation army,bombing,New Delhi
people's liberation army,bombing,Tral
people's liberation army,bombing,Bengaluru
people's liberation army,bombing,Roro
people's liberation army,bombing,Sonitpur district
people's liberation army,bombing,Sopore
people's liberation army,bombing,Parganas district
people's liberation army,bombing,Gaya district
national socialist council of nagaland,assassination,Srinagar
national socialist council of nagaland,assassination,Guwahati
national socialist council of nagaland,assassination,Sukma district
national socialist council of nagaland,assassination,Rai
national socialist council of nagaland,assassination,Anantnag
national socialist council of nagaland,assassination,New Delhi
national socialist council of nagaland,assassination,Tral
national socialist council of nagaland,assassination,Bengaluru
national socialist council of nagaland,assassination,Roro
national socialist council of nagaland,assassination,Sonitpur district
national socialist council of nagaland,assassination,Sopore
national socialist council of nagaland,assassination,Parganas district
national socialist council of nagaland,assassination,Gaya district
national socialist council of nagaland,hijacking,Srinagar
national socialist council of nagaland,hijacking,Guwahati
national socialist council of nagaland,hijacking,Sukma district
national socialist council of nagaland,hijacking,Rai
national socialist council of nagaland,hijacking,Anantnag
national socialist council of nagaland,hijacking,New Delhi
national socialist council of nagaland,hijacking,Tral
national socialist council of nagaland,hijacking,Bengaluru
national socialist council of nagaland,hijacking,Roro
national socialist council of nagaland,hijacking,Sonitpur district
national socialist council of nagaland,hijacking,Sopore
national socialist council of nagaland,hijacking,Parganas district
national socialist council of nagaland,hijacking,Gaya district
national socialist council of nagaland,kidnapping,Srinagar
national socialist council of nagaland,kidnapping,Guwahati
national socialist council of nagaland,kidnapping,Sukma district
national socialist council of nagaland,kidnapping,Rai
national socialist council of nagaland,kidnapping,Anantnag
national socialist council of nagaland,kidnapping,New Delhi
national socialist council of nagaland,kidnapping,Tral
national socialist council of nagaland,kidnapping,Bengaluru
national socialist council of nagaland,kidnapping,Roro
national socialist council of nagaland,kidnapping,Sonitpur district
national socialist council of nagaland,kidnapping,Sopore
national socialist council of nagaland,kidnapping,Parganas district
national socialist council of nagaland,kidnapping,Gaya district
national socialist council of nagaland,bombing,Srinagar
national socialist council of nagaland,bombing,Guwahati
national socialist council of nagaland,bombing,Sukma district
national socialist council of nagaland,bombing,Rai
national socialist council of nagaland,bombing,Anantnag
national socialist council of nagaland,bombing,New Delhi
national socialist council of nagaland,bombing,Tral
national socialist council of nagaland,bombing,Bengaluru
national socialist council of nagaland,bombing,Roro
national socialist council of nagaland,bombing,Sonitpur district
national socialist council of nagaland,bombing,Sopore
national socialist council of nagaland,bombing,Parganas district
national socialist council of nagaland,bombing,Gaya district
separatists,assassination,Srinagar
separatists,assassination,Guwahati
separatists,assassination,Sukma district
separatists,assassination,Rai
separatists,assassination,Anantnag
separatists,assassination,New Delhi
separatists,assassination,Tral
separatists,assassination,Bengaluru
separatists,assassination,Roro
separatists,assassination,Sonitpur district
separatists,assassination,Sopore
separatists,assassination,Parganas district
separatists,assassination,Gaya district
separatists,hijacking,Srinagar
separatists,hijacking,Guwahati
separatists,hijacking,Sukma district
separatists,hijacking,Rai
separatists,hijacking,Anantnag
separatists,hijacking,New Delhi
separatists,hijacking,Tral
separatists,hijacking,Bengaluru
separatists,hijacking,Roro
separatists,hijacking,Sonitpur district
separatists,hijacking,Sopore
separatists,hijacking,Parganas district
separatists,hijacking,Gaya district
separatists,kidnapping,Srinagar
separatists,kidnapping,Guwahati
separatists,kidnapping,Sukma district
separatists,kidnapping,Rai
separatists,kidnapping,Anantnag
separatists,kidnapping,New Delhi
separatists,kidnapping,Tral
separatists,kidnapping,Bengaluru
separatists,kidnapping,Roro
separatists,kidnapping,Sonitpur district
separatists,kidnapping,Sopore
separatists,kidnapping,Parganas district
separatists,kidnapping,Gaya district
separatists,bombing,Srinagar
separatists,bombing,Guwahati
separatists,bombing,Sukma district
separatists,bombing,Rai
separatists,bombing,Anantnag
separatists,bombing,New Delhi
separatists,bombing,Tral
separatists,bombing,Bengaluru
separatists,bombing,Roro
separatists,bombing,Sonitpur district
separatists,bombing,Sopore
separatists,bombing,Parganas district
separatists,bombing,Gaya district
dissident,assassination,Srinagar
dissident,assassination,Guwahati
dissident,assassination,Sukma district
dissident,assassination,Rai
dissident,assassination,Anantnag
dissident,assassination,New Delhi
dissident,assassination,Tral
dissident,assassination,Bengaluru
dissident,assassination,Roro
dissident,assassination,Sonitpur district
dissident,assassination,Sopore
dissident,assassination,Parganas district
dissident,assassination,Gaya district
dissident,hijacking,Srinagar
dissident,hijacking,Guwahati
dissident,hijacking,Sukma district
dissident,hijacking,Rai
dissident,hijacking,Anantnag
dissident,hijacking,New Delhi
dissident,hijacking,Tral
dissident,hijacking,Bengaluru
dissident,hijacking,Roro
dissident,hijacking,Sonitpur district
dissident,hijacking,Sopore
dissident,hijacking,Parganas district
dissident,hijacking,Gaya district
dissident,kidnapping,Srinagar
dissident,kidnapping,Guwahati
dissident,kidnapping,Sukma district
dissident,kidnapping,Rai
dissident,kidnapping,Anantnag
dissident,kidnapping,New Delhi
dissident,kidnapping,Tral
dissident,kidnapping,Bengaluru
dissident,kidnapping,Roro
dissident,kidnapping,Sonitpur district
dissident,kidnapping,Sopore
dissident,kidnapping,Parganas district
dissident,kidnapping,Gaya district
dissident,bombing,Srinagar
dissident,bombing,Guwahati
dissident,bombing,Sukma district
dissident,bombing,Rai
dissident,bombing,Anantnag
dissident,bombing,New Delhi
dissident,bombing,Tral
dissident,bombing,Bengaluru
dissident,bombing,Roro
dissident,bombing,Sonitpur district
dissident,bombing,Sopore
dissident,bombing,Parganas district
dissident,bombing,Gaya district
secessionists,assassination,Srinagar
secessionists,assassination,Guwahati
secessionists,assassination,Sukma district
secessionists,assassination,Rai
secessionists,assassination,Anantnag
secessionists,assassination,New Delhi
secessionists,assassination,Tral
secessionists,assassination,Bengaluru
secessionists,assassination,Roro
secessionists,assassination,Sonitpur district
secessionists,assassination,Sopore
secessionists,assassination,Parganas district
secessionists,assassination,Gaya district
secessionists,hijacking,Srinagar
secessionists,hijacking,Guwahati
secessionists,hijacking,Sukma district
secessionists,hijacking,Rai
secessionists,hijacking,Anantnag
secessionists,hijacking,New Delhi
secessionists,hijacking,Tral
secessionists,hijacking,Bengaluru
secessionists,hijacking,Roro
secessionists,hijacking,Sonitpur district
secessionists,hijacking,Sopore
secessionists,hijacking,Parganas district
secessionists,hijacking,Gaya district
secessionists,kidnapping,Srinagar
secessionists,kidnapping,Guwahati
secessionists,kidnapping,Sukma district
secessionists,kidnapping,Rai
secessionists,kidnapping,Anantnag
secessionists,kidnapping,New Delhi
secessionists,kidnapping,Tral
secessionists,kidnapping,Bengaluru
secessionists,kidnapping,Roro
secessionists,kidnapping,Sonitpur district
secessionists,kidnapping,Sopore
secessionists,kidnapping,Parganas district
secessionists,kidnapping,Gaya district
secessionists,bombing,Srinagar
secessionists,bombing,Guwahati
secessionists,bombing,Sukma district
secessionists,bombing,Rai
secessionists,bombing,Anantnag
secessionists,bombing,New Delhi
secessionists,bombing,Tral
secessionists,bombing,Bengaluru
secessionists,bombing,Roro
secessionists,bombing,Sonitpur district
secessionists,bombing,Sopore
secessionists,bombing,Parganas district
secessionists,bombing,Gaya district
muslim separatists,assassination,Srinagar
muslim separatists,assassination,Guwahati
muslim separatists,assassination,Sukma district
muslim separatists,assassination,Rai
muslim separatists,assassination,Anantnag
muslim separatists,assassination,New Delhi
muslim separatists,assassination,Tral
muslim separatists,assassination,Bengaluru
muslim separatists,assassination,Roro
muslim separatists,assassination,Sonitpur district
muslim separatists,assassination,Sopore
muslim separatists,assassination,Parganas district
muslim separatists,assassination,Gaya district
muslim separatists,hijacking,Srinagar
muslim separatists,hijacking,Guwahati
muslim separatists,hijacking,Sukma district
muslim separatists,hijacking,Rai
muslim separatists,hijacking,Anantnag
muslim separatists,hijacking,New Delhi
muslim separatists,hijacking,Tral
muslim separatists,hijacking,Bengaluru
muslim separatists,hijacking,Roro
muslim separatists,hijacking,Sonitpur district
muslim separatists,hijacking,Sopore
muslim separatists,hijacking,Parganas district
muslim separatists,hijacking,Gaya district
muslim separatists,kidnapping,Srinagar
muslim separatists,kidnapping,Guwahati
muslim separatists,kidnapping,Sukma district
muslim separatists,kidnapping,Rai
muslim separatists,kidnapping,Anantnag
muslim separatists,kidnapping,New Delhi
muslim separatists,kidnapping,Tral
muslim separatists,kidnapping,Bengaluru
muslim separatists,kidnapping,Roro
muslim separatists,kidnapping,Sonitpur district
muslim separatists,kidnapping,Sopore
muslim separatists,kidnapping,Parganas district
muslim separatists,kidnapping,Gaya district
muslim separatists,bombing,Srinagar
muslim separatists,bombing,Guwahati
muslim separatists,bombing,Sukma district
muslim separatists,bombing,Rai
muslim separatists,bombing,Anantnag
muslim separatists,bombing,New Delhi
muslim separatists,bombing,Tral
muslim separatists,bombing,Bengaluru
muslim separatists,bombing,Roro
muslim separatists,bombing,Sonitpur district
muslim separatists,bombing,Sopore
muslim separatists,bombing,Parganas district
muslim separatists,bombing,Gaya district
gunmen,assassination,Srinagar
gunmen,assassination,Guwahati
gunmen,assassination,Sukma district
gunmen,assassination,Rai
gunmen,assassination,Anantnag
gunmen,assassination,New Delhi
gunmen,assassination,Tral
gunmen,assassination,Bengaluru
gunmen,assassination,Roro
gunmen,assassination,Sonitpur district
gunmen,assassination,Sopore
gunmen,assassination,Parganas district
gunmen,assassination,Gaya district
gunmen,hijacking,Srinagar
gunmen,hijacking,Guwahati
gunmen,hijacking,Sukma district
gunmen,hijacking,Rai
gunmen,hijacking,Anantnag
gunmen,hijacking,New Delhi
gunmen,hijacking,Tral
gunmen,hijacking,Bengaluru
gunmen,hijacking,Roro
gunmen,hijacking,Sonitpur district
gunmen,hijacking,Sopore
gunmen,hijacking,Parganas district
gunmen,hijacking,Gaya district
gunmen,kidnapping,Srinagar
gunmen,kidnapping,Guwahati
gunmen,kidnapping,Sukma district
gunmen,kidnapping,Rai
gunmen,kidnapping,Anantnag
gunmen,kidnapping,New Delhi
gunmen,kidnapping,Tral
gunmen,kidnapping,Bengaluru
gunmen,kidnapping,Roro
gunmen,kidnapping,Sonitpur district
gunmen,kidnapping,Sopore
gunmen,kidnapping,Parganas district
gunmen,kidnapping,Gaya district
gunmen,bombing,Srinagar
gunmen,bombing,Guwahati
gunmen,bombing,Sukma district
gunmen,bombing,Rai
gunmen,bombing,Anantnag
gunmen,bombing,New Delhi
gunmen,bombing,Tral
gunmen,bombing,Bengaluru
gunmen,bombing,Roro
gunmen,bombing,Sonitpur district
gunmen,bombing,Sopore
gunmen,bombing,Parganas district
gunmen,bombing,Gaya district
extremists,assassination,Srinagar
extremists,assassination,Guwahati
extremists,assassination,Sukma district
extremists,assassination,Rai
extremists,assassination,Anantnag
extremists,assassination,New Delhi
extremists,assassination,Tral
extremists,assassination,Bengaluru
extremists,assassination,Roro
extremists,assassination,Sonitpur district
extremists,assassination,Sopore
extremists,assassination,Parganas district
extremists,assassination,Gaya district
extremists,hijacking,Srinagar
extremists,hijacking,Guwahati
extremists,hijacking,Sukma district
extremists,hijacking,Rai
extremists,hijacking,Anantnag
extremists,hijacking,New Delhi
extremists,hijacking,Tral
extremists,hijacking,Bengaluru
extremists,hijacking,Roro
extremists,hijacking,Sonitpur district
extremists,hijacking,Sopore
extremists,hijacking,Parganas district
extremists,hijacking,Gaya district
extremists,kidnapping,Srinagar
extremists,kidnapping,Guwahati
extremists,kidnapping,Sukma district
extremists,kidnapping,Rai
extremists,kidnapping,Anantnag
extremists,kidnapping,New Delhi
extremists,kidnapping,Tral
extremists,kidnapping,Bengaluru
extremists,kidnapping,Roro
extremists,kidnapping,Sonitpur district
extremists,kidnapping,Sopore
extremists,kidnapping,Parganas district
extremists,kidnapping,Gaya district
extremists,bombing,Srinagar
extremists,bombing,Guwahati
extremists,bombing,Sukma district
extremists,bombing,Rai
extremists,bombing,Anantnag
extremists,bombing,New Delhi
extremists,bombing,Tral
extremists,bombing,Bengaluru
extremists,bombing,Roro
extremists,bombing,Sonitpur district
extremists,bombing,Sopore
extremists,bombing,Parganas district
extremists,bombing,Gaya district
japanese red army,assassination,Srinagar
japanese red army,assassination,Guwahati
japanese red army,assassination,Sukma district
japanese red army,assassination,Rai
japanese red army,assassination,Anantnag
japanese red army,assassination,New Delhi
japanese red army,assassination,Tral
japanese red army,assassination,Bengaluru
japanese red army,assassination,Roro
japanese red army,assassination,Sonitpur district
japanese red army,assassination,Sopore
japanese red army,assassination,Parganas district
japanese red army,assassination,Gaya district
japanese red army,hijacking,Srinagar
japanese red army,hijacking,Guwahati
japanese red army,hijacking,Sukma district
japanese red army,hijacking,Rai
japanese red army,hijacking,Anantnag
japanese red army,hijacking,New Delhi
japanese red army,hijacking,Tral
japanese red army,hijacking,Bengaluru
japanese red army,hijacking,Roro
japanese red army,hijacking,Sonitpur district
japanese red army,hijacking,Sopore
japanese red army,hijacking,Parganas district
japanese red army,hijacking,Gaya district
japanese red army,kidnapping,Srinagar
japanese red army,kidnapping,Guwahati
japanese red army,kidnapping,Sukma district
japanese red army,kidnapping,Rai
japanese red army,kidnapping,Anantnag
japanese red army,kidnapping,New Delhi
japanese red army,kidnapping,Tral
japanese red army,kidnapping,Bengaluru
japanese red army,kidnapping,Roro
japanese red army,kidnapping,Sonitpur district
japanese red army,kidnapping,Sopore
japanese red army,kidnapping,Parganas district
japanese red army,kidnapping,Gaya district
japanese red army,bombing,Srinagar
japanese red army,bombing,Guwahati
japanese red army,bombing,Sukma district
japanese red army,bombing,Rai
japanese red army,bombing,Anantnag
japanese red army,bombing,New Delhi
japanese red army,bombing,Tral
japanese red army,bombing,Bengaluru
japanese red army,bombing,Roro
japanese red army,bombing,Sonitpur district
japanese red army,bombing,Sopore
japanese red army,bombing,Parganas district
japanese red army,bombing,Gaya district
pattali makkal katchi,assassination,Srinagar
pattali makkal katchi,assassination,Guwahati
pattali makkal katchi,assassination,Sukma district
pattali makkal katchi,assassination,Rai
pattali makkal katchi,assassination,Anantnag
pattali makkal katchi,assassination,New Delhi
pattali makkal katchi,assassination,Tral
pattali makkal katchi,assassination,Bengaluru
pattali makkal katchi,assassination,Roro
pattali makkal katchi,assassination,Sonitpur district
pattali makkal katchi,assassination,Sopore
pattali makkal katchi,assassination,Parganas district
pattali makkal katchi,assassination,Gaya district
pattali makkal katchi,hijacking,Srinagar
pattali makkal katchi,hijacking,Guwahati
pattali makkal katchi,hijacking,Sukma district
pattali makkal katchi,hijacking,Rai
pattali makkal katchi,hijacking,Anantnag
pattali makkal katchi,hijacking,New Delhi
pattali makkal katchi,hijacking,Tral
pattali makkal katchi,hijacking,Bengaluru
pattali makkal katchi,hijacking,Roro
pattali makkal katchi,hijacking,Sonitpur district
pattali makkal katchi,hijacking,Sopore
pattali makkal katchi,hijacking,Parganas district
pattali makkal katchi,hijacking,Gaya district
pattali makkal katchi,kidnapping,Srinagar
pattali makkal katchi,kidnapping,Guwahati
pattali makkal katchi,kidnapping,Sukma district
pattali makkal katchi,kidnapping,Rai
pattali makkal katchi,kidnapping,Anantnag
pattali makkal katchi,kidnapping,New Delhi
pattali makkal katchi,kidnapping,Tral
pattali makkal katchi,kidnapping,Bengaluru
pattali makkal katchi,kidnapping,Roro
pattali makkal katchi,kidnapping,Sonitpur district
pattali makkal katchi,kidnapping,Sopore
pattali makkal katchi,kidnapping,Parganas district
pattali makkal katchi,kidnapping,Gaya district
pattali makkal katchi,bombing,Srinagar
pattali makkal katchi,bombing,Guwahati
pattali makkal katchi,bombing,Sukma district
pattali makkal katchi,bombing,Rai
pattali makkal katchi,bombing,Anantnag
pattali makkal katchi,bombing,New Delhi
pattali makkal katchi,bombing,Tral
pattali makkal katchi,bombing,Bengaluru
pattali makkal katchi,bombing,Roro
pattali makkal katchi,bombing,Sonitpur district
pattali makkal katchi,bombing,Sopore
pattali makkal katchi,bombing,Parganas district
pattali makkal katchi,bombing,Gaya district
hizbul mujahideen,assassination,Srinagar
hizbul mujahideen,assassination,Guwahati
hizbul mujahideen,assassination,Sukma district
hizbul mujahideen,assassination,Rai
hizbul mujahideen,assassination,Anantnag
hizbul mujahideen,assassination,New Delhi
hizbul mujahideen,assassination,Tral
hizbul mujahideen,assassination,Bengaluru
hizbul mujahideen,assassination,Roro
hizbul mujahideen,assassination,Sonitpur district
hizbul mujahideen,assassination,Sopore
hizbul mujahideen,assassination,Parganas district
hizbul mujahideen,assassination,Gaya district
hizbul mujahideen,hijacking,Srinagar
hizbul mujahideen,hijacking,Guwahati
hizbul mujahideen,hijacking,Sukma district
hizbul mujahideen,hijacking,Rai
hizbul mujahideen,hijacking,Anantnag
hizbul mujahideen,hijacking,New Delhi
hizbul mujahideen,hijacking,Tral
hizbul mujahideen,hijacking,Bengaluru
hizbul mujahideen,hijacking,Roro
hizbul mujahideen,hijacking,Sonitpur district
hizbul mujahideen,hijacking,Sopore
hizbul mujahideen,hijacking,Parganas district
hizbul mujahideen,hijacking,Gaya district
hizbul mujahideen,kidnapping,Srinagar
hizbul mujahideen,kidnapping,Guwahati
hizbul mujahideen,kidnapping,Sukma district
hizbul mujahideen,kidnapping,Rai
hizbul mujahideen,kidnapping,Anantnag
hizbul mujahideen,kidnapping,New Delhi
hizbul mujahideen,kidnapping,Tral
hizbul mujahideen,kidnapping,Bengaluru
hizbul mujahideen,kidnapping,Roro
hizbul mujahideen,kidnapping,Sonitpur district
hizbul mujahideen,kidnapping,Sopore
hizbul mujahideen,kidnapping,Parganas district
hizbul mujahideen,kidnapping,Gaya district
hizbul mujahideen,bombing,Srinagar
hizbul mujahideen,bombing,Guwahati
hizbul mujahideen,bombing,Sukma district
hizbul mujahideen,bombing,Rai
hizbul mujahideen,bombing,Anantnag
hizbul mujahideen,bombing,New Delhi
hizbul mujahideen,bombing,Tral
hizbul mujahideen,bombing,Bengaluru
hizbul mujahideen,bombing,Roro
hizbul mujahideen,bombing,Sonitpur district
hizbul mujahideen,bombing,Sopore
hizbul mujahideen,bombing,Parganas district
hizbul mujahideen,bombing,Gaya district
muslim rebels,assassination,Srinagar
muslim rebels,assassination,Guwahati
muslim rebels,assassination,Sukma district
muslim rebels,assassination,Rai
muslim rebels,assassination,Anantnag
muslim rebels,assassination,New Delhi
muslim rebels,assassination,Tral
muslim rebels,assassination,Bengaluru
muslim rebels,assassination,Roro
muslim rebels,assassination,Sonitpur district
muslim rebels,assassination,Sopore
muslim rebels,assassination,Parganas district
muslim rebels,assassination,Gaya district
muslim rebels,hijacking,Srinagar
muslim rebels,hijacking,Guwahati
muslim rebels,hijacking,Sukma district
muslim rebels,hijacking,Rai
muslim rebels,hijacking,Anantnag
muslim rebels,hijacking,New Delhi
muslim rebels,hijacking,Tral
muslim rebels,hijacking,Bengaluru
muslim rebels,hijacking,Roro
muslim rebels,hijacking,Sonitpur district
muslim rebels,hijacking,Sopore
muslim rebels,hijacking,Parganas district
muslim rebels,hijacking,Gaya district
muslim rebels,kidnapping,Srinagar
muslim rebels,kidnapping,Guwahati
muslim rebels,kidnapping,Sukma district
muslim rebels,kidnapping,Rai
muslim rebels,kidnapping,Anantnag
muslim rebels,kidnapping,New Delhi
muslim rebels,kidnapping,Tral
muslim rebels,kidnapping,Bengaluru
muslim rebels,kidnapping,Roro
muslim rebels,kidnapping,Sonitpur district
muslim rebels,kidnapping,Sopore
muslim rebels,kidnapping,Parganas district
muslim rebels,kidnapping,Gaya district
muslim rebels,bombing,Srinagar
muslim rebels,bombing,Guwahati
muslim rebels,bombing,Sukma district
muslim rebels,bombing,Rai
muslim rebels,bombing,Anantnag
muslim rebels,bombing,New Delhi
muslim rebels,bombing,Tral
muslim rebels,bombing,Bengaluru
muslim rebels,bombing,Roro
muslim rebels,bombing,Sonitpur district
muslim rebels,bombing,Sopore
muslim rebels,bombing,Parganas district
muslim rebels,bombing,Gaya district
communist party of india,assassination,Srinagar
communist party of india,assassination,Guwahati
communist party of india,assassination,Sukma district
communist party of india,assassination,Rai
communist party of india,assassination,Anantnag
communist party of india,assassination,New Delhi
communist party of india,assassination,Tral
communist party of india,assassination,Bengaluru
communist party of india,assassination,Roro
communist party of india,assassination,Sonitpur district
communist party of india,assassination,Sopore
communist party of india,assassination,Parganas district
communist party of india,assassination,Gaya district
communist party of india,hijacking,Srinagar
communist party of india,hijacking,Guwahati
communist party of india,hijacking,Sukma district
communist party of india,hijacking,Rai
communist party of india,hijacking,Anantnag
communist party of india,hijacking,New Delhi
communist party of india,hijacking,Tral
communist party of india,hijacking,Bengaluru
communist party of india,hijacking,Roro
communist party of india,hijacking,Sonitpur district
communist party of india,hijacking,Sopore
communist party of india,hijacking,Parganas district
communist party of india,hijacking,Gaya district
communist party of india,kidnapping,Srinagar
communist party of india,kidnapping,Guwahati
communist party of india,kidnapping,Sukma district
communist party of india,kidnapping,Rai
communist party of india,kidnapping,Anantnag
communist party of india,kidnapping,New Delhi
communist party of india,kidnapping,Tral
communist party of india,kidnapping,Bengaluru
communist party of india,kidnapping,Roro
communist party of india,kidnapping,Sonitpur district
communist party of india,kidnapping,Sopore
communist party of india,kidnapping,Parganas district
communist party of india,kidnapping,Gaya district
communist party of india,bombing,Srinagar
communist party of india,bombing,Guwahati
communist party of india,bombing,Sukma district
communist party of india,bombing,Rai
communist party of india,bombing,Anantnag
communist party of india,bombing,New Delhi
communist party of india,bombing,Tral
communist party of india,bombing,Bengaluru
communist party of india,bombing,Roro
communist party of india,bombing,Sonitpur district
communist party of india,bombing,Sopore
communist party of india,bombing,Parganas district
communist party of india,bombing,Gaya district
terrorists,assassination,Srinagar
terrorists,assassination,Guwahati
terrorists,assassination,Sukma district
terrorists,assassination,Rai
terrorists,assassination,Anantnag
terrorists,assassination,New Delhi
terrorists,assassination,Tral
terrorists,assassination,Bengaluru
terrorists,assassination,Roro
