eventid,iyear,imonth,iday,provstate,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
2.00E+11,2000,1,31,Tripura,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Insurgents,Firearms
2.00E+11,2000,1,31,Tripura,Atharobolla,Hostage Taking (Kidnapping),Private Citizens & Property,Insurgents,Firearms
2.00E+11,2000,1,31,Tripura,Paharpur,Hostage Taking (Kidnapping),Private Citizens & Property,National Liberation Front of Tripura (NLFT),Unknown
2.00E+11,2000,2,8,Jammu and Kashmir (State),Gaichta-Dudsunbala,Armed Assault,Military,Unknown,Firearms
2.00E+11,2000,2,10,West Bengal (State),Baira,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,2,10,Jammu and Kashmir,Palpora,Armed Assault,Police,Guerrillas,Firearms
2.00E+11,2000,2,17,Jammu and Kashmir (State),Sumbal,Assassination,Military,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,2,18,Jammu and Kashmir (State),Kahleel,Bombing/Explosion,Police,Other,Explosives/Bombs/Dynamite
2.00E+11,2000,2,18,Jammu and Kashmir (State),Bijbehra,Bombing/Explosion,Military,Other,Explosives/Bombs/Dynamite
2.00E+11,2000,2,18,Andhra Pradesh (State),Tarakunda,Armed Assault,Police,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2000,2,20,Madhya Pradesh (State),Bustar,Bombing/Explosion,Police,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2000,2,20,Bihar (State),Madhepura,Unarmed Assault,Government (General),National People’s Party (Rashtriya Janata Dal - RJD),Melee
2.00E+11,2000,2,20,Tripura (State),Bishram Ganj,Bombing/Explosion,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Incendiary
2.00E+11,2000,2,22,Bihar (State),Manipur,Armed Assault,Military,Other,Firearms
2.00E+11,2000,2,27,National Capital Territory of Delhi (Union Territory),New Delhi,Bombing/Explosion,Private Citizens & Property,Individual,Explosives/Bombs/Dynamite
2.00E+11,2000,2,27,Assam (State),Bahajan,Bombing/Explosion,Government (General),United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.00E+11,2000,3,3,Punjab,Tarkhan Majra,Bombing/Explosion,Private Citizens & Property,Separatists,Explosives/Bombs/Dynamite
2.00E+11,2000,3,4,Bihar (State),Kachnara,Assassination,Military,People's War Group (PWG),Firearms
2.00E+11,2000,3,4,Bihar (State),Laxmipur Diara,Armed Assault,Private Citizens & Property,Naxalites,Firearms
2.00E+11,2000,3,5,Jammu and Kashmir (State),Badampura,Armed Assault,Military,Unknown,Firearms
2.00E+11,2000,3,7,Andhra Pradesh (State),Ghatkesar,Assassination,Government (General),Naxalites,Explosives/Bombs/Dynamite
2.00E+11,2000,3,7,Assam (State),Majuli Bargora,Armed Assault,Police,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2000,3,11,Bihar (State),Bardiha,Bombing/Explosion,Military,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2000,3,14,Jammu and Kashmir (State),Thanna Mand,Armed Assault,Military,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2000,3,16,Delhi,New Delhi,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,3,18,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Journalists & Media,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,3,21,Jammu and Kashmir (State),Chadisinghpoora,Armed Assault,Private Citizens & Property,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2000,3,0,Tamil Nadu,Cuddalore,Bombing/Explosion,Transportation,Tamil Nadu Liberation Army,Explosives/Bombs/Dynamite
2.00E+11,2000,3,24,Jammu and Kashmir (State),Kot Budhan,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2000,4,5,Andhra Pradesh (State),Hyderabad,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,4,9,Tripura,Unknown,Hostage Taking (Kidnapping),Government (General),National Liberation Front of Tripura (NLFT),Unknown
2.00E+11,2000,4,9,Tripura,Unknown,Hostage Taking (Kidnapping),Government (General),National Liberation Front of Tripura (NLFT),Unknown
2.00E+11,2000,4,9,Tripura,Jampui,Hostage Taking (Kidnapping),Government (General),National Liberation Front of Tripura (NLFT),Unknown
2.00E+11,2000,4,9,Tripura,Unknown,Hostage Taking (Kidnapping),Government (General),National Liberation Front of Tripura (NLFT),Unknown
2.00E+11,2000,4,9,Tripura,Unknown,Hostage Taking (Kidnapping),Government (General),National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2000,4,9,Tripura,Belbari,Hostage Taking (Kidnapping),Government (General),National Liberation Front of Tripura (NLFT),Unknown
2.00E+11,2000,4,12,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,4,15,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Journalists & Media,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,4,19,Jammu and Kashmir (State),Badami Bagh,Bombing/Explosion,Military,Jaish-e-Mohammad (JeM),Explosives/Bombs/Dynamite
2.00E+11,2000,4,19,Jammu and Kashmir (State),Sopore,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,4,19,Tripura,Laxmipur,Armed Assault,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2000,4,24,Assam,Khoiphuta,Armed Assault,Private Citizens & Property,Karbi National Volunteers (KNV),Firearms
2.00E+11,2000,4,26,Jammu and Kashmir (State),Chak Mohd Yar,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,4,28,Jammu and Kashmir (State),Sher Bagh,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,4,28,Jammu and Kashmir (State),Anantnag,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,5,1,Tripura,Chandrathakurpara village,Armed Assault,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2000,5,7,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,5,8,Maharashtra (State),Mumbai,Facility/Infrastructure Attack,Religious Figures/Institutions,Vishwa Hindu Parishad (VHP),Sabotage Equipment
2.00E+11,2000,5,15,Jammu and Kashmir (State),Manipore,Assassination,Government (General),Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,5,15,Jammu and Kashmir (State),Mandipore,Assassination,Government (General),Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,5,19,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,5,21,Andhra Pradesh (State),Machilipatnam,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,5,21,Tripura (State),Baghber,Armed Assault,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2000,5,20,Manipur,Imphal,Bombing/Explosion,Government (General),People's Liberation Army (India),Explosives/Bombs/Dynamite
2.00E+11,2000,5,22,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,5,28,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Tourists,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,5,29,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,5,29,Jammu and Kashmir (State),Shopian,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,6,2,Jammu and Kashmir (State),Magam,Assassination,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,6,3,Assam (State),Borkhola,Bombing/Explosion,Military,National Democratic Front of Bodoland (NDFB),Explosives/Bombs/Dynamite
2.00E+11,2000,6,4,Jammu and Kashmir (State),Batmaloo,Armed Assault,Police,Jaish-e-Mohammad (JeM),Firearms
2.00E+11,2000,6,4,Jammu and Kashmir (State),Wazirbagh locality,Armed Assault,Police,Jaish-e-Mohammad (JeM),Firearms
2.00E+11,2000,6,4,Jammu and Kashmir (State),Bemina,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2000,6,7,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,6,8,Goa (State),Vasco,Bombing/Explosion,Religious Figures/Institutions,Other,Explosives/Bombs/Dynamite
2.00E+11,2000,6,8,Andhra Pradesh (State),Tadepalliguden,Bombing/Explosion,Religious Figures/Institutions,Other,Explosives/Bombs/Dynamite
2.00E+11,2000,6,8,Andhra Pradesh (State),Ongole,Bombing/Explosion,Religious Figures/Institutions,Other,Explosives/Bombs/Dynamite
2.00E+11,2000,6,8,Karnataka (State),Wadi,Bombing/Explosion,Religious Figures/Institutions,Other,Explosives/Bombs/Dynamite
2.00E+11,2000,6,11,Punjab (State),Jalandhar,Armed Assault,Religious Figures/Institutions,Unknown,Melee
2.00E+11,2000,6,12,Bihar (State),Asarfi,Armed Assault,Private Citizens & Property,Other,Firearms
2.00E+11,2000,6,13,Jammu and Kashmir (State),Kunzar-Tangmarg,Assassination,Government (General),Unknown,Firearms
2.00E+11,2000,6,25,Manipur (State),Lengdenpokse,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2000,6,25,Andhra Pradesh,Guntur,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,6,28,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,7,2,Tripura,Kailasahar Subdivision,Hostage Taking (Kidnapping),Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2000,7,8,Karnataka (State),Hubli,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,8,7,West Bengal,Jalpaiguri,Unknown,Educational Institution,Kamtapur Liberation Organization (KLO),Unknown
2.00E+11,2000,7,12,Jammu and Kashmir (State),Ladakh,Armed Assault,Religious Figures/Institutions,Unknown,Firearms
2.00E+11,2000,7,13,Jharkhand (State),Hasker,Armed Assault,Private Citizens & Property,People's War Group (PWG),Firearms
2.00E+11,2000,7,13,Assam,Bongaigaon,Bombing/Explosion,Business,National Democratic Front of Bodoland (NDFB),Explosives/Bombs/Dynamite
2.00E+11,2000,7,16,Assam (State),Rongkuri,Armed Assault,Private Citizens & Property,Karbi National Volunteers (KNV),Melee
2.00E+11,2000,7,16,Assam (State),Diklam,Armed Assault,Private Citizens & Property,Karbi National Volunteers (KNV),Melee
2.00E+11,2000,7,19,Assam,Serapathar,Armed Assault,Private Citizens & Property,Unknown,Melee
2.00E+11,2000,7,24,Punjab (State),Jullundur,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,7,24,Jammu and Kashmir,Sopore,Assassination,Government (General),Gunmen,Firearms
2.00E+11,2000,7,30,Assam (State),Assam,Bombing/Explosion,Transportation,National Democratic Front of Bodoland (NDFB),Explosives/Bombs/Dynamite
2.00E+11,2000,7,30,Jammu and Kashmir (State),Gulmarg,Bombing/Explosion,Tourists,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,7,30,Assam (State),Assam,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,7,30,Tamil Nadu,Gajanur,Hostage Taking (Kidnapping),Private Citizens & Property,Bandits,Firearms
2.00E+11,2000,8,0,Jammu and Kashmir,Srinagar,Bombing/Explosion,Private Citizens & Property,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,8,1,Jammu and Kashmir (State),Pahalgam,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2000,8,10,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,8,13,Jammu and Kashmir,Kud,Bombing/Explosion,Military,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,8,13,Jammu and Kashmir,Jammu,Bombing/Explosion,Military,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,8,13,Jammu and Kashmir,Srinagar,Bombing/Explosion,Private Citizens & Property,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,8,13,Jammu and Kashmir,Srinagar,Bombing/Explosion,Private Citizens & Property,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,8,14,Uttar Pradesh (State),Rauzabad,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,8,10,National Capital Territory of Delhi (Union Territory),New Delhi,Bombing/Explosion,Private Citizens & Property,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2000,8,16,Jammu and Kashmir,Bijbehara,Bombing/Explosion,Police,Militants,Explosives/Bombs/Dynamite
2.00E+11,2000,8,17,Jammu and Kashmir,Kotdhara,Armed Assault,Private Citizens & Property,Muslim Militants,Firearms
2.00E+11,2000,8,19,Jammu and Kashmir,Indeh,Armed Assault,Private Citizens & Property,Muslim Militants,Firearms
2.00E+11,2000,8,20,Manipur,Imphal,Armed Assault,Journalists & Media,Gunmen,Firearms
2.00E+11,2000,8,21,Assam (State),Gargaon,Assassination,Government (General),National Democratic Front of Bodoland (NDFB),Firearms
2.00E+11,2000,8,22,Assam,Bogribari,Armed Assault,Private Citizens & Property,National Democratic Front of Bodoland (NDFB),Firearms
2.00E+11,2000,8,26,Manipur,Imphal,Bombing/Explosion,Journalists & Media,Militants,Explosives/Bombs/Dynamite
2.00E+11,2000,8,27,Tripura,Jirania,Armed Assault,Religious Figures/Institutions,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2000,9,1,Jammu and Kashmir (State),Sangrama,Assassination,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,9,1,Jammu and Kashmir (State),Drahteng-Prang,Armed Assault,Military,Hizbul Mujahideen (HM),Firearms
2.00E+11,2000,9,1,Jammu and Kashmir (State),Utrosou,Armed Assault,Police,Unknown,Firearms
2.00E+11,2000,9,8,Jammu and Kashmir (State),Kupwara District,Armed Assault,Government (General),Unknown,Firearms
2.00E+11,2000,9,9,Bihar (State),Dumariyan,Armed Assault,Violent Political Party,Ranbir Sena,Incendiary
2.00E+11,2000,9,12,Jammu and Kashmir (State),Budgam District,Armed Assault,Military,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2000,9,13,Assam (State),Borlangpha,Armed Assault,Police,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Firearms
2.00E+11,2000,9,13,Bihar,Narkopi,Armed Assault,Private Citizens & Property,Maoist Communist Center (MCC),Firearms
2.00E+11,2000,9,14,Jammu and Kashmir (State),Srinagar,Hostage Taking (Kidnapping),Government (General),Unknown,Firearms
2.00E+11,2000,9,15,Jammu and Kashmir (State),Bandipora,Armed Assault,Police,Unknown,Firearms
2.00E+11,2000,9,15,Jammu and Kashmir (State),Fazlabad,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,9,15,Jammu and Kashmir (State),Thanna Mandi,Armed Assault,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,9,18,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,9,18,Tripura,Nepal Tilla,Bombing/Explosion,Private Citizens & Property,Miscreants,Explosives/Bombs/Dynamite
2.00E+11,2000,9,23,Jammu and Kashmir (State),Pattapani,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,9,24,Jammu and Kashmir (State),Rajouri,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,9,30,Bihar (State),Thalubigha,Armed Assault,Private Citizens & Property,Communist Party of India- Marxist-Leninist,Firearms
2.00E+11,2000,9,30,Jammu and Kashmir (State),Poonch District,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2000,10,11,Kashmir,Srinagar,Bombing/Explosion,Police,Militants,Explosives/Bombs/Dynamite
2.00E+11,2000,10,0,Bihar,Bhojpur,Armed Assault,Private Citizens & Property,Akhilesh Singh Gang,Firearms
2.00E+11,2000,10,18,Jammu and Kashmir (State),Anchidora,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,10,18,Jammu and Kashmir (State),Badambagh,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,10,18,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,10,21,Jammu and Kashmir (State),Lapri,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,10,23,Assam (State),Kakogam,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2000,10,23,Assam (State),Naholia,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2000,10,23,Maharashtra (State),Nagpur,Armed Assault,Religious Figures/Institutions,Unknown,Firearms
2.00E+11,2000,10,0,Tripura,Sashisangmapara,Bombing/Explosion,Private Citizens & Property,United Bengali Liberation Front (UBLF),Explosives/Bombs/Dynamite
2.00E+11,2000,10,26,Punjab,Bhatinda,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,10,27,Assam (State),Nalbari,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2000,10,27,Jammu and Kashmir (State),Surankote,Facility/Infrastructure Attack,Police,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2000,11,2,Manipur (State),Imphal,Armed Assault,Military,Unknown,Firearms
2.00E+11,2000,11,3,Jammu and Kashmir (State),Mazhama,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,11,8,Assam (State),Sukrungbari,Armed Assault,Private Citizens & Property,National Democratic Front of Bodoland (NDFB),Firearms
2.00E+11,2000,11,15,Tripura,Suknachara,Bombing/Explosion,Private Citizens & Property,United Bengali Liberation Front (UBLF),Explosives/Bombs/Dynamite
2.00E+11,2000,11,16,Assam,Unknown,Armed Assault,Business,National Democratic Front of Bodoland (NDFB),Firearms
2.00E+11,2000,11,17,Assam,Simuluguri,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2000,11,19,Tripura,Boroholdi,Armed Assault,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2000,11,21,Jammu and Kashmir (State),Jammu,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2000,11,24,Jammu and Kashmir (State),Kishtwar,Hostage Taking (Kidnapping),Private Citizens & Property,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2000,11,24,Assam (State),Kokrajhar District,Armed Assault,Private Citizens & Property,National Democratic Front of Bodoland (NDFB),Firearms
2.00E+11,2000,11,25,Assam (State),Jagra,Armed Assault,Private Citizens & Property,All Tripura Tiger Force (ATTF),Firearms
2.00E+11,2000,11,25,Assam (State),Kumrighata,Armed Assault,Private Citizens & Property,All Tripura Tiger Force (ATTF),Firearms
2.00E+11,2000,11,30,Assam (State),Bongaigaon,Armed Assault,Business,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2000,12,1,Jammu and Kashmir (State),Patton,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,12,1,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,12,1,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,12,1,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,12,1,Jammu and Kashmir (State),Sarju,Armed Assault,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,12,2,Manipur,Sugnu,Hostage Taking (Kidnapping),Religious Figures/Institutions,Gunmen,Firearms
2.00E+11,2000,12,3,Kashmir,Qazigund,Armed Assault,Private Citizens & Property,Kashmiri Militants,Firearms
2.00E+11,2000,12,7,Assam (State),Tinsukia,Armed Assault,Business,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2000,12,12,Jammu and Kashmir (State),Lalpura,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,12,11,National Capital Territory of Delhi (Union Territory),New Delhi,Bombing/Explosion,Police,Jaish-e-Mohammad (JeM),Explosives/Bombs/Dynamite
2.00E+11,2000,12,13,Kashmir,Arwani,Bombing/Explosion,Government (General),Militants,Explosives/Bombs/Dynamite
2.00E+11,2000,12,17,Bihar,Brahmchak,Armed Assault,Violent Political Party,People's War Group (PWG),Firearms
2.00E+11,2000,12,18,Nagaland,Unknown,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2000,12,22,National Capital Territory of Delhi (Union Territory),New Delhi,Facility/Infrastructure Attack,Military,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2000,12,25,Jammu and Kashmir (State),Unknown,Bombing/Explosion,Military,Jamiat ul-Mujahedin (JuM),Explosives/Bombs/Dynamite
2.00E+11,2001,1,3,West Bengal (State),Keshpur,Armed Assault,Government (General),Communist Party of India- Marxist,Firearms
2.00E+11,2001,1,5,Jammu and Kashmir (State),Poonch,Armed Assault,Military,Hizbul Mujahideen (HM),Firearms
2.00E+11,2001,1,5,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,1,7,Tripura,Sindhukumar,Hostage Taking (Kidnapping),Transportation,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2001,1,7,Kashmir,Sopore,Bombing/Explosion,Military,Muslim Separatists,Explosives/Bombs/Dynamite
2.00E+11,2001,1,7,Tripura,Nalifapara,Hostage Taking (Kidnapping),Business,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2001,1,7,Assam,Diphu,Armed Assault,Private Citizens & Property,United People's Democratic Solidarity (UPDS),Firearms
2.00E+11,2001,1,9,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Telecommunication,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,1,9,Jammu and Kashmir (State),Srinagar,Assassination,Government (General),Unknown,Firearms
2.00E+11,2001,1,14,Jammu and Kashmir (State),Srinagar,Assassination,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,1,15,Bihar (State),Rosera,Armed Assault,Violent Political Party,Unknown,Firearms
2.00E+11,2001,1,16,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Airports & Aircraft,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.00E+11,2001,1,21,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,1,21,Jammu and Kashmir (State),Jammu,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.00E+11,2001,1,22,Assam,Bishnupur-Sankuchi village,Armed Assault,Private Citizens & Property,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2001,1,24,Assam,Diphu,Bombing/Explosion,Private Citizens & Property,Militants,Explosives/Bombs/Dynamite
2.00E+11,2001,1,26,Uttaranchal (State),Rishikesh,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,2,3,Jammu and Kashmir,Srinagar,Armed Assault,Private Citizens & Property,Muslim Separatists,Firearms
2.00E+11,2001,2,9,Jammu and Kashmir (State),Salohi,Armed Assault,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,2,9,Jammu and Kashmir (State),Srinagar,Armed Assault,Police,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.00E+11,2001,2,10,Jammu and Kashmir,Anantnag,Armed Assault,Government (General),Militants,Firearms
2.00E+11,2001,2,14,Jammu and Kashmir,Charar-i-Sharif,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,2,19,Jammu and Kashmir,Lalpora,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,2,20,Jammu and Kashmir,Sodal,Armed Assault,Government (General),Militants,Firearms
2.00E+11,2001,2,20,Tripura,Agartala,Assassination,Government (General),Gunmen,Firearms
2.00E+11,2001,2,22,Jammu and Kashmir,Tarzoo,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,2,23,Jammu and Kashmir,Kishtwar,Armed Assault,Private Citizens & Property,Militants,Firearms
2.00E+11,2001,2,26,Kashmir,Latina,Unknown,Government (General),Militants,Unknown
2.00E+11,2001,3,2,Jammu and Kashmir (State),Manjapu,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2001,3,3,South Tripura (District),Bampu,Armed Assault,Military,National Liberation Front of Tripura (NLFT),Firearms
