source,target,CountOfattacktype1_txt
People's Committee against Police Atrocities (PCPA),Hostage Taking (Kidnapping),3
People's Liberation Army (India),Armed Assault,5
People's Liberation Army (India),Assassination,1
People's Liberation Army (India),Bombing/Explosion,38
People's Liberation Army (India),Hostage Taking (Kidnapping),1
People's Liberation Front of India,Armed Assault,15
People's Liberation Front of India,Assassination,3
People's Liberation Front of India,Bombing/Explosion,2
People's Liberation Front of India,Facility/Infrastructure Attack,5
People's Liberation Front of India,Hostage Taking (Kidnapping),9
People's Revolutionary Party of Kangleipak (PREPAK),Armed Assault,1
People's Revolutionary Party of Kangleipak (PREPAK),Bombing/Explosion,8
People's Revolutionary Party of Kangleipak (PREPAK),Hostage Taking (Kidnapping),1
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P),Assassination,1
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P),Bombing/Explosion,2
People's United Liberation Front (PULF),Armed Assault,1
People's United Liberation Front (PULF),Bombing/Explosion,1
People's United Liberation Front (PULF),Hostage Taking (Kidnapping),1
Rabha National Security Force,Hostage Taking (Kidnapping),1
Rashtriya Swayamsevak Sangh,Bombing/Explosion,1
Separatists,Armed Assault,5
Separatists,Assassination,1
Separatists,Bombing/Explosion,5
Shiv Sena,Facility/Infrastructure Attack,1
Students Islamic Movement of India (SIMI),Bombing/Explosion,2
Tamil Nadu Liberation Army,Bombing/Explosion,3
Tehrik-e-Galba Islam,Armed Assault,1
Telangana Separatists,Bombing/Explosion,2
Terai Janatantrik Party,Hostage Taking (Kidnapping),1
Tribesmen,Hostage Taking (Kidnapping),2
Tritiya Prastuti Committee (India),Armed Assault,3
Tritiya Prastuti Committee (India),Facility/Infrastructure Attack,3
United A'chik Liberation Army (UALA),Armed Assault,2
United A'chik Liberation Army (UALA),Facility/Infrastructure Attack,1
United Bengali Liberation Front (UBLF),Bombing/Explosion,1
United Democratic Liberation Army (UDLA),Armed Assault,1
United Democratic Liberation Army (UDLA),Facility/Infrastructure Attack,1
United Democratic Liberation Army (UDLA),Hostage Taking (Kidnapping),7
United Karbi Liberation Army (UKlA),Assassination,1
United Kuki Liberation Front (UKLF) - India,Armed Assault,1
United Kuki Liberation Front (UKLF) - India,Bombing/Explosion,1
United Kuki Liberation Front (UKLF) - India,Hostage Taking (Kidnapping),1
United Liberation Front of Assam (ULFA),Armed Assault,6
United Liberation Front of Assam (ULFA),Bombing/Explosion,57
United Liberation Front of Assam (ULFA),Facility/Infrastructure Attack,1
United Liberation Front of Assam (ULFA),Hostage Taking (Kidnapping),3
United Liberation Front of Barak Valley (ULFBV) - India,Hostage Taking (Kidnapping),2
United National Liberation Front (UNLF),Armed Assault,1
United National Liberation Front (UNLF),Bombing/Explosion,11
United Revolutionary Front,Bombing/Explosion,5
United Tribal Liberation Army (UTLA),Hostage Taking (Kidnapping),1
Vishwa Hindu Parishad (VHP),Bombing/Explosion,4
Volunteers of Innocent People of Nagas (VIPN),Bombing/Explosion,1
Yimchunger Liberation Front (YLF),Hostage Taking (Kidnapping),1
Youths,Bombing/Explosion,1
Zeliangrong United Front,Armed Assault,4
Zeliangrong United Front,Hostage Taking (Kidnapping),1
Zomi Revolutionary Army (ZRA),Armed Assault,2
